# ALL NEURONS
# step              C (avg)             C (min)             C (max)             C (var)             C (std_dev)         axons (avg)         axons (min)         axons (max)         axons (var)         axons (std_dev)     axons.c (avg)       axons.c (min)       axons.c (max)       axons.c (var)       axons.c (std_dev)   den.ex (avg)        den.ex (min)        den.ex (max)        den.ex (var)        den.ex (std_dev)    den.ex.c (avg)      den.ex.c (min)      den.ex.c (max)      den.ex.c (var)      den.ex.c (std_dev)  
700                 0.02938821          0.01744242          0.04251120          0.00002005          0.00447774          1.20081192          1.09356607          1.29229434          0.00355369          0.05961283          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19956447          1.09913347          1.29518335          0.00314071          0.05604200          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
800                 0.03385270          0.02124996          0.04806591          0.00002303          0.00479926          1.19981243          1.09256656          1.29129484          0.00355369          0.05961283          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19926771          1.09884464          1.29489256          0.00314065          0.05604147          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
900                 0.03821740          0.02302586          0.05454757          0.00002875          0.00536164          1.19881303          1.09156717          1.29029547          0.00355369          0.05961284          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19898897          1.09857661          1.29462390          0.00314057          0.05604076          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
1000                0.04229419          0.02565232          0.05998769          0.00003254          0.00570457          1.19781371          1.09056786          1.28929623          0.00355369          0.05961285          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19872769          1.09833428          1.29437225          0.00314053          0.05604046          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
# ALL NEURONS
# step              C (avg)             C (min)             C (max)             C (var)             C (std_dev)         axons (avg)         axons (min)         axons (max)         axons (var)         axons (std_dev)     axons.c (avg)       axons.c (min)       axons.c (max)       axons.c (var)       axons.c (std_dev)   den.ex (avg)        den.ex (min)        den.ex (max)        den.ex (var)        den.ex (std_dev)    den.ex.c (avg)      den.ex.c (min)      den.ex.c (max)      den.ex.c (var)      den.ex.c (std_dev)  
0                   0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          1.20780978          1.10056369          1.29929227          0.00355369          0.05961283          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          1.20209857          1.10161878          1.29767588          0.00314099          0.05604450          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          
100                 0.00393017          0.00000000          0.00894251          0.00000284          0.00168421          1.20680997          1.09956391          1.29829246          0.00355369          0.05961283          0.71500000          0.00000000          1.00000000          0.20377500          0.45141444          1.20168908          1.10120996          1.29726587          0.00314102          0.05604482          0.53000000          0.00000000          1.00000000          0.24910000          0.49909919          
200                 0.00828332          0.00296987          0.01481571          0.00000492          0.00221802          1.20581019          1.09856418          1.29729269          0.00355369          0.05961282          0.89500000          0.00000000          1.00000000          0.09397500          0.30655342          1.20129495          1.10082012          1.29687112          0.00314101          0.05604469          0.69500000          0.00000000          1.00000000          0.21197500          0.46040743          
300                 0.01254440          0.00688229          0.02071198          0.00000767          0.00276960          1.20481045          1.09756449          1.29629294          0.00355369          0.05961282          0.98500000          0.00000000          1.00000000          0.01477500          0.12155246          1.20091640          1.10044357          1.29649935          0.00314093          0.05604401          0.78500000          0.00000000          1.00000000          0.16877500          0.41082235          
400                 0.01697665          0.00881393          0.02748134          0.00001190          0.00344971          1.20381075          1.09656483          1.29529323          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.20055434          1.10009040          1.29614787          0.00314078          0.05604269          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
500                 0.02117549          0.01264976          0.03215948          0.00001403          0.00374533          1.20281109          1.09556519          1.29429356          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.20020884          1.09975325          1.29581176          0.00314066          0.05604162          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
600                 0.02555706          0.01640589          0.03985619          0.00001595          0.00399421          1.20181148          1.09456559          1.29329392          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19987970          1.09943697          1.29548968          0.00314049          0.05604003          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
700                 0.02976041          0.01934565          0.04642371          0.00002097          0.00457898          1.20081193          1.09356600          1.29229434          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19956750          1.09913934          1.29518316          0.00314028          0.05603820          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
800                 0.03426579          0.02213489          0.05193949          0.00002391          0.00488930          1.19981245          1.09256646          1.29129484          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19927239          1.09885509          1.29489237          0.00314007          0.05603634          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
900                 0.03866629          0.02490205          0.05739042          0.00002980          0.00545883          1.19881305          1.09156704          1.29029548          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19899536          1.09859508          1.29462372          0.00313985          0.05603437          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
1000                0.04266901          0.02565232          0.06279529          0.00003205          0.00566167          1.19781374          1.09056772          1.28929628          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19873574          1.09836083          1.29437376          0.00313969          0.05603291          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
